adjective,noun,tone,key,instrument,maj_min
oblivious,,,,,
oblong,,,,,
obnoxious,,,,,
obscene,,,,,
obscure,,,,,
observable,,,,,
observant,,,,,
obsessive,,,,,
obsolete,,,,,
obstinate,,,,,
obstructive,,,,,
obtainable,,,,,
obtrusive,,,,,
obtuse,,,,,
obvious,,,,,
occasional,,,,,
occupational,,,,,
occupied,,,,,
oceanic,,,,,
odd,,,,,
odd-looking,,,,,
odiferous,,,,,
odious,,,,,
odorless,,,,,
odorous,,,,,
offbeat,,,,,
offensive,,,,,
offhanded,,,,,
official,,,,,
officious,,,,,
oily,,,,,
OK,,,,,
okay,,,,,
old,,,,,
older,,,,,
oldest,,,,,
old-fashioned,,,,,
ominous,,,,,
omniscient,,,,,
omnivorous,,,,,
one,,,,,
one-hour,,,,,
onerous,,,,,
one-sided,,,,,
only,,,,,
opaque,,,,,
open,,,,,
opened,,,,,
openhanded,,,,,
openhearted,,,,,
opening,,,,,
open-minded,,,,,
operable,,,,,
operatic,,,,,
operational,,,,,
operative,,,,,
opinionated,,,,,
opportune,,,,,
opportunistic,,,,,
opposable,,,,,
opposed,,,,,
opposing,,,,,
opposite,,,,,
oppressive,,,,,
optimal,,,,,
optimistic,,,,,
optional,,,,,
opulent,,,,,
oral,,,,,
orange,,,,,
ordinary,,,,,
organic,,,,,
organizational,,,,,
original,,,,,
ornamental,,,,,
ornate,,,,,
ornery,,,,,
orphaned,,,,,
orthopedic,,,,,
ossified,,,,,
ostentatious,,,,,
other,,,,,
otherwise,,,,,
our,,,,,
outer,,,,,
outermost,,,,,
outgoing,,,,,
outlandish,,,,,
outraged,,,,,
outrageous,,,,,
outside,,,,,
outspoken,,,,,
outstanding,,,,,
outward,,,,,
oval,,,,,
overactive,,,,,
overaggressive,,,,,
overall,,,,,
overambitious,,,,,
overassertive,,,,,
overbearing,,,,,
overcast,,,,,
overcautious,,,,,
overconfident,,,,,
overcritical,,,,,
overcrowded,,,,,
overemotional,,,,,
overenthusiastic,,,,,
overjoyed,,,,,
overoptimistic,,,,,
overpowering,,,,,
overpriced,,,,,
overprotective,,,,,
overqualified,,,,,
overrated,,,,,
oversensitive,,,,,
oversized,,,,,
overt,,,,,
overwhelmed,,,,,
overwhelming,,,,,
overworked,,,,,
overwrought,,,,,
overzealous,,,,,
own,,,,,
oxymoronic,,,,,
padded,,,,,
painful,,,,,
painless,,,,,
painstaking,,,,,
palatable,,,,,
palatial,,,,,
pale,,,,,
pallid,,,,,
palpable,,,,,
paltry,,,,,
pampered,,,,,
panicky,,,,,
panoramic,,,,,
paradoxical,,,,,
parallel,,,,,
paranormal,,,,,
parasitic,,,,,
parched,,,,,
pardonable,,,,,
parental,,,,,
parenthetic,,,,,
parking,,,,,
parsimonious,,,,,
partial,,,,,
particular,,,,,
partisan,,,,,
part-time,,,,,
party,,,,,
passing,,,,,
passionate,,,,,
passive,,,,,
past,,,,,
pastoral,,,,,
patched,,,,,
patchy,,,,,
patented,,,,,
paternal,,,,,
paternalistic,,,,,
pathetic,,,,,
pathological,,,,,
patient,,,,,
patriotic,,,,,
patronizing,,,,,
patterned,,,,,
payable,,,,,
peaceable,,,,,
peaceful,,,,,
peculiar,,,,,
pedantic,,,,,
pedestrian,,,,,
peerless,,,,,
peeved,,,,,
peevish,,,,,
penetrable,,,,,
penetrating,,,,,
pensive,,,,,
peppery,,,,,
perceivable,,,,,
perceptible,,,,,
perceptive,,,,,
perceptual,,,,,
peremptory,,,,,
perennial,,,,,
perfect,,,,,
perfumed,,,,,
perilous,,,,,
period,,,,,
periodic,,,,,
peripheral,,,,,
perishable,,,,,
perky,,,,,
permanent,,,,,
permeable,,,,,
permissible,,,,,
permissive,,,,,
pernicious,,,,,
perpendicular,,,,,
perpetual,,,,,
perplexed,,,,,
perplexing,,,,,
persevering,,,,,
persistent,,,,,
personable,,,,,
personal,,,,,
persuasive,,,,,
pert,,,,,
pertinent,,,,,
perturbed,,,,,
perturbing,,,,,
pervasive,,,,,
perverse,,,,,
pessimistic,,,,,
petite,,,,,
pettish,,,,,
petty,,,,,
petulant,,,,,
pharmaceutical,,,,,
phenomenal,,,,,
philanthropic,,,,,
philosophical,,,,,
phobic,,,,,
phonemic,,,,,
phonetic,,,,,
phosphorescent,,,,,
photographic,,,,,
physical,,,,,
physiological,,,,,
picturesque,,,,,
piercing,,,,,
pigheaded,,,,,
pink,,,,,
pious,,,,,
piquant,,,,,
pitch-dark,,,,,
pitch-perfect,,,,,
piteous,,,,,
pithy,,,,,
pitiful,,,,,
pitiless,,,,,
pivotal,,,,,
placid,,,,,
plaid,,,,,
plain,,,,,
plane,,,,,
planned,,,,,
plastic,,,,,
platonic,,,,,
plausible,,,,,
playful,,,,,
pleading,,,,,
pleasant,,,,,
pleased,,,,,
pleasing,,,,,
pleasurable,,,,,
plentiful,,,,,
pliable,,,,,
plodding,,,,,
plopping,,,,,
plucky,,,,,
plump,,,,,
pluralistic,,,,,
plus,,,,,
plush,,,,,
pneumatic,,,,,
poetic,,,,,
poignant,,,,,
pointless,,,,,
poised,,,,,
poisonous,,,,,
polished,,,,,
polite,,,,,
political,,,,,
polka-dotted,,,,,
polluted,,,,,
polyunsaturated,,,,,
pompous,,,,,
ponderous,,,,,
poor,,,,,
poorer,,,,,
poorest,,,,,
popping,,,,,
popular,,,,,
populous,,,,,
porous,,,,,
portable,,,,,
portly,,,,,
positive,,,,,
possessive,,,,,
possible,,,,,
post,,,,,
posthumous,,,,,
postoperative,,,,,
potable,,,,,
potent,,,,,
potential,,,,,
powdery,,,,,
powerful,,,,,
powerless,,,,,
practical,,,,,
pragmatic,,,,,
praiseworthy,,,,,
precarious,,,,,
precious,,,,,
precipitous,,,,,
precise,,,,,
precocious,,,,,
preconceived,,,,,
predicative,,,,,
predictable,,,,,
predisposed,,,,,
predominant,,,,,
preeminent,,,,,
preemptive,,,,,
prefabricated,,,,,
preferable,,,,,
preferential,,,,,
pregnant,,,,,
prehistoric,,,,,
prejudiced,,,,,
prejudicial,,,,,
preliminary,,,,,
premature,,,,,
premeditated,,,,,
premium,,,,,
prenatal,,,,,
preoccupied,,,,,
preoperative,,,,,
preparative,,,,,
prepared,,,,,
preposterous,,,,,
prescriptive,,,,,
present,,,,,
presentable,,,,,
presidential,,,,,
pressing,,,,,
pressurized,,,,,
prestigious,,,,,
presumable,,,,,
presumptive,,,,,
presumptuous,,,,,
pretend,,,,,
pretentious,,,,,
pretty,,,,,
prevalent,,,,,
preventable,,,,,
preventative,,,,,
preventive,,,,,
previous,,,,,
priceless,,,,,
pricey,,,,,
prickly,,,,,
prim,,,,,
primary,,,,,
primitive,,,,,
primordial,,,,,
princely,,,,,
principal,,,,,
principled,,,,,
prior,,,,,
prissy,,,,,
pristine,,,,,
private,,,,,
prize,,,,,
prized,,,,,
proactive,,,,,
probabilistic,,,,,
probable,,,,,
problematic,,,,,
procedural,,,,,
prodigious,,,,,
productive,,,,,
profane,,,,,
professed,,,,,
professional,,,,,
professorial,,,,,
proficient,,,,,
profitable,,,,,
profound,,,,,
profuse,,,,,
programmable,,,,,
progressive,,,,,
prohibitive,,,,,
prolific,,,,,
prominent,,,,,
promised,,,,,
promising,,,,,
prompt,,,,,
pronounceable,,,,,
pronounced,,,,,
proof,,,,,
proper,,,,,
prophetic,,,,,
proportional,,,,,
proportionate,,,,,
proportioned,,,,,
prospective,,,,,
prosperous,,,,,
protective,,,,,
prototypical,,,,,
proud,,,,,
proverbial,,,,,
provisional,,,,,
provocative,,,,,
provoking,,,,,
proximal,,,,,
proximate,,,,,
prudent,,,,,
prudential,,,,,
prying,,,,,
psychedelic,,,,,
psychiatric,,,,,
psychological,,,,,
psychosomatic,,,,,
psychotic,,,,,
public,,,,,
puckish,,,,,
puffy,,,,,
pugnacious,,,,,
pumped,,,,,
punctual,,,,,
pungent,,,,,
punishable,,,,,
punitive,,,,,
puny,,,,,
pure,,,,,
purified,,,,,
puritanical,,,,,
purple,,,,,
purported,,,,,
purposeful,,,,,
purposeless,,,,,
purring,,,,,
pushy,,,,,
pusillanimous,,,,,
putrid,,,,,
puzzled,,,,,
puzzling,,,,,
pyrotechnic,,,,,
quackish,,,,,
quacky,,,,,
quaint,,,,,
qualified,,,,,
qualitative,,,,,
quality,,,,,
quantifiable,,,,,
quantitative,,,,,
quarrelsome,,,,,
queasy,,,,,
queenly,,,,,
querulous,,,,,
questionable,,,,,
quick,,,,,
quick-acting,,,,,
quick-drying,,,,,
quickest,,,,,
quick-minded,,,,,
quick-paced,,,,,
quick-tempered,,,,,
quick-thinking,,,,,
quick-witted,,,,,
quiet,,,,,
quintessential,,,,,
quirky,,,,,
quivering,,,,,
quizzical,,,,,
quotable,,,,,
rabid,,,,,
racial,,,,,
racist,,,,,
radiant,,,,,
radical,,,,,
radioactive,,,,,
ragged,,,,,
raging,,,,,
rainbow,,,,,
rainy,,,,,
rakish,,,,,
rambling,,,,,
rambunctious,,,,,
rampageous,,,,,
rampant,,,,,
rancid,,,,,
rancorous,,,,,
random,,,,,
rank,,,,,
rapid,,,,,
rapid-fire,,,,,
rapturous,,,,,
rare,,,,,
rascally,,,,,
rash,,,,,
rasping,,,,,
raspy,,,,,
rational,,,,,
ratty,,,,,
ravenous,,,,,
raving,,,,,
ravishing,,,,,
raw,,,,,
razor-edged,,,,,
reactive,,,,,
ready,,,,,
real,,,,,
realistic,,,,,
reasonable,,,,,
reassured,,,,,
reassuring,,,,,
rebel,,,,,
rebellious,,,,,
receding,,,,,
recent,,,,,
receptive,,,,,
recessive,,,,,
rechargeable,,,,,
reciprocal,,,,,
reckless,,,,,
reclusive,,,,,
recognizable,,,,,
recognized,,,,,
rectangular,,,,,
rectifiable,,,,,
recurrent,,,,,
recyclable,,,,,
red,,,,,
red-blooded,,,,,
reddish,,,,,
redeemable,,,,,
redolent,,,,,
redundant,,,,,
referential,,,,,
refillable,,,,,
reflective,,,,,
refractive,,,,,
refreshing,,,,,
refundable,,,,,
refurbished,,,,,
refutable,,,,,
regal,,,,,
regional,,,,,
regretful,,,,,
regrettable,,,,,
regular,,,,,
reigning,,,,,
relatable,,,,,
relative,,,,,
relaxed,,,,,
relaxing,,,,,
relentless,,,,,
relevant,,,,,
reliable,,,,,
relieved,,,,,
religious,,,,,
reluctant,,,,,
remaining,,,,,
remarkable,,,,,
remedial,,,,,
reminiscent,,,,,
remorseful,,,,,
remorseless,,,,,
remote,,,,,
removable,,,,,
renegotiable,,,,,
renewable,,,,,
rented,,,,,
repairable,,,,,
repaired,,,,,
repeatable,,,,,
repeated,,,,,
repentant,,,,,
repetitious,,,,,
repetitive,,,,,
replaceable,,,,,
replicable,,,,,
reported,,,,,
reprehensible,,,,,
representative,,,,,
repressive,,,,,
reproachful,,,,,
reproductive,,,,,
republican,,,,,
repugnant,,,,,
repulsive,,,,,
reputable,,,,,
reputed,,,,,
rescued,,,,,
resealable,,,,,
resentful,,,,,
reserved,,,,,
resident,,,,,
residential,,,,,
residual,,,,,
resilient,,,,,
resolute,,,,,
resolvable,,,,,
resonant,,,,,
resounding,,,,,
resourceful,,,,,
respectable,,,,,
respectful,,,,,
respective,,,,,
responsible,,,,,
responsive,,,,,
rested,,,,,
restful,,,,,
restless,,,,,
restored,,,,,
restrained,,,,,
restrictive,,,,,
retired,,,,,
retroactive,,,,,
retrogressive,,,,,
retrospective,,,,,
reusable,,,,,
revamped,,,,,
revealing,,,,,
revengeful,,,,,
reverent,,,,,
reverential,,,,,
reverse,,,,,
reversible,,,,,
reviewable,,,,,
reviled,,,,,
revisable,,,,,
revised,,,,,
revocable,,,,,
revolting,,,,,
revolutionary,,,,,
rewarding,,,,,
rhetorical,,,,,
rhythmic,,,,,
rich,,,,,
richer,,,,,
richest,,,,,
ridiculing,,,,,
ridiculous,,,,,
right,,,,,
righteous,,,,,
rightful,,,,,
right-handed,,,,,
rigid,,,,,
rigorous,,,,,
ringing,,,,,
riotous,,,,,
ripe,,,,,
rippling,,,,,
risky,,,,,
ritualistic,,,,,
ritzy,,,,,
riveting,,,,,
roaring,,,,,
roasted,,,,,
robotic,,,,,
robust,,,,,
rocketing,,,,,
roguish,,,,,
romantic,,,,,
roomy,,,,,
rosy,,,,,
rotating,,,,,
rotten,,,,,
rotting,,,,,
rotund,,,,,
rough,,,,,
round,,,,,
roundtable,,,,,
rousing,,,,,
routine,,,,,
rowdy,,,,,
royal,,,,,
ruddy,,,,,
rude,,,,,
rudimentary,,,,,
rueful,,,,,
rugged,,,,,
ruined,,,,,
ruinous,,,,,
rumbling,,,,,
rumpled,,,,,
ruptured,,,,,
rural,,,,,
rusted,,,,,
rustic,,,,,
rustling,,,,,
rusty,,,,,
ruthless,,,,,
rutted,,,,,
saccharin,,,,,
sacred,,,,,
sacrificial,,,,,
sacrilegious,,,,,
sad,,,,,
saddened,,,,,
safe,,,,,
saintly,,,,,
salacious,,,,,
salient,,,,,
salt,,,,,
salted,,,,,
salty,,,,,
salvageable,,,,,
salvaged,,,,,
same,,,,,
sanctimonious,,,,,
sandy,,,,,
sane,,,,,
sanguine,,,,,
sanitary,,,,,
sappy,,,,,
sarcastic,,,,,
sardonic,,,,,
sassy,,,,,
satin,,,,,
satiny,,,,,
satiric,,,,,
satirical,,,,,
satisfactory,,,,,
satisfied,,,,,
satisfying,,,,,
saucy,,,,,
savage,,,,,
savory,,,,,
savvy,,,,,
scalding,,,,,
scaly,,,,,
scandalous,,,,,
scant,,,,,
scanty,,,,,
scarce,,,,,
scared,,,,,
scarred,,,,,
scary,,,,,
scathing,,,,,
scattered,,,,,
scenic,,,,,
scented,,,,,
scheduled,,,,,
schematic,,,,,
scholarly,,,,,
scholastic,,,,,
scientific,,,,,
scintillating,,,,,
scorching,,,,,
scornful,,,,,
scrabbled,,,,,
scraggly,,,,,
scrappy,,,,,
scratched,,,,,
scratchy,,,,,
scrawny,,,,,
screaming,,,,,
screeching,,,,,
scribbled,,,,,
scriptural,,,,,
scruffy,,,,,
scrumptious,,,,,
scrupulous,,,,,
sculpted,,,,,
sculptural,,,,,
scummy,,,,,
sea,,,,,
sealed,,,,,
seamless,,,,,
searching,,,,,
searing,,,,,
seasick,,,,,
seasonable,,,,,
seasonal,,,,,
secluded,,,,,
second,,,,,
secondary,,,,,
second-hand,,,,,
secret,,,,,
secretive,,,,,
secular,,,,,
secure,,,,,
secured,,,,,
sedate,,,,,
seditious,,,,,
seductive,,,,,
seedy,,,,,
seeming,,,,,
seemly,,,,,
seething,,,,,
seismic,,,,,
select,,,,,
selected,,,,,
selective,,,,,
self-absorbed,,,,,
self-aggrandizing,,,,,
self-assured,,,,,
self-centered,,,,,
self-confident,,,,,
self-directed,,,,,
self-disciplined,,,,,
self-effacing,,,,,
self-indulgent,,,,,
self-interested,,,,,
selfish,,,,,
selfless,,,,,
self-reliant,,,,,
self-respect,,,,,
self-satisfied,,,,,
sellable,,,,,
semiconscious,,,,,
semiofficial,,,,,
semiprecious,,,,,
semiprofessional,,,,,
senior,,,,,
sensational,,,,,
senseless,,,,,
sensible,,,,,
sensitive,,,,,
sensual,,,,,
sensuous,,,,,
sentimental,,,,,
separate,,,,,
sequential,,,,,
serendipitous,,,,,
serene,,,,,
serial,,,,,
serious,,,,,
serrated,,,,,
serviceable,,,,,
seven,,,,,
seventh,,,,,
several,,,,,
severe,,,,,
shabbiest,,,,,
shabby,,,,,
shaded,,,,,
shadowed,,,,,
shadowy,,,,,
shady,,,,,
shaggy,,,,,
shaky,,,,,
shallow,,,,,
shamefaced,,,,,
shameful,,,,,
shameless,,,,,
shapeless,,,,,
shapely,,,,,
sharp,,,,,
sharpened,,,,,
shattered,,,,,
shattering,,,,,
sheepish,,,,,
sheer,,,,,
sheltered,,,,,
shifty,,,,,
shimmering,,,,,
shining,,,,,
shiny,,,,,
shivering,,,,,
shivery,,,,,
shocked,,,,,
shocking,,,,,
shoddy,,,,,
short,,,,,
short-lived,,,,,
shortsighted,,,,,
short-tempered,,,,,
short-term,,,,,
showy,,,,,
shrewd,,,,,
shrieking,,,,,
shrill,,,,,
shut,,,,,
shy,,,,,
sick,,,,,
sickened,,,,,
sickening,,,,,
sickly,,,,,
side-splitting,,,,,
signed,,,,,
significant,,,,,
silent,,,,,
silky,,,,,
silly,,,,,
silver,,,,,
silver-tongued,,,,,
simian,,,,,
similar,,,,,
simple,,,,,
simpleminded,,,,,
simplified,,,,,
simplistic,,,,,
simultaneous,,,,,
sincere,,,,,
sinful,,,,,
single,,,,,
single-minded,,,,,
singular,,,,,
sinister,,,,,
sinuous,,,,,
sisterly,,,,,
six,,,,,
sixth,,,,,
sizable,,,,,
sizzling,,,,,
skeptical,,,,,
sketchy,,,,,
skilled,,,,,
skillful,,,,,
skimpy,,,,,
skin-deep,,,,,
skinny,,,,,
skittish,,,,,
sky-blue,,,,,
slanderous,,,,,
slanted,,,,,
slanting,,,,,
sleek,,,,,
sleeping,,,,,
sleepless,,,,,
sleepy,,,,,
slender,,,,,
slick,,,,,
slight,,,,,
slim,,,,,
slimy,,,,,
slippery,,,,,
sloped,,,,,
sloping,,,,,
sloppy,,,,,
slothful,,,,,
slow,,,,,
slow-moving,,,,,
sluggish,,,,,
slushy,,,,,
sly,,,,,
small,,,,,
smaller,,,,,
smallest,,,,,
small-minded,,,,,
small-scale,,,,,
small-time,,,,,
small-town,,,,,
smarmy,,,,,
smart,,,,,
smarter,,,,,
smartest,,,,,
smashing,,,,,
smeared,,,,,
smelly,,,,,
smiling,,,,,
smoggy,,,,,
smoked,,,,,
smoky,,,,,
smooth,,,,,
smothering,,,,,
smudged,,,,,
smug,,,,,
snapping,,,,,
snappish,,,,,
snappy,,,,,
snarling,,,,,
sneaky,,,,,
snide,,,,,
snippy,,,,,
snobbish,,,,,
snoopy,,,,,
snooty,,,,,
snoring,,,,,
snotty,,,,,
snow-white,,,,,
snug,,,,,
snuggly,,,,,
soaked,,,,,
soaking,,,,,
soaking wet,,,,,
soaring,,,,,
sober,,,,,
sociable,,,,,
social,,,,,
socialist,,,,,
sociological,,,,,
soft,,,,,
softhearted,,,,,
soggy,,,,,
solar,,,,,
soldierly,,,,,
sole,,,,,
solemn,,,,,
solicitous,,,,,
solid,,,,,
solitary,,,,,
somatic,,,,,
somber,,,,,
some,,,,,
sonic,,,,,
sonly,,,,,
soothed,,,,,
soothing,,,,,
sophisticated,,,,,
sordid,,,,,
sore,,,,,
sorrowful,,,,,
sorry,,,,,
soulful,,,,,
soulless,,,,,
soundless,,,,,
sour,,,,,
south,,,,,
southeasterly,,,,,
southern,,,,,
southwestern,,,,,
spacious,,,,,
spare,,,,,
sparing,,,,,
sparkling,,,,,
sparkly,,,,,
sparse,,,,,
spasmodic,,,,,
spastic,,,,,
spatial,,,,,
spattered,,,,,
special,,,,,
specialist,,,,,
specialized,,,,,
specific,,,,,
speckled,,,,,
spectacular,,,,,
spectral,,,,,
speculative,,,,,
speechless,,,,,
speedy,,,,,
spellbinding,,,,,
spendthrift,,,,,
spherical,,,,,
spicy,,,,,
spiffy,,,,,
spiky,,,,,
spinal,,,,,
spineless,,,,,
spiral,,,,,
spiraled,,,,,
spirited,,,,,
spiritless,,,,,
spiritual,,,,,
spiteful,,,,,
splashing,,,,,
splashy,,,,,
splattered,,,,,
splendid,,,,,
splintered,,,,,
spoiled,,,,,
spoken,,,,,
spongy,,,,,
spontaneous,,,,,
spooky,,,,,
sporadic,,,,,
sporting,,,,,
sportsmanly,,,,,
spotless,,,,,
spotted,,,,,
spotty,,,,,
springy,,,,,
sprite,,,,,
spry,,,,,
spurious,,,,,
squalid,,,,,
squandered,,,,,
square,,,,,
squashed,,,,,
squashy,,,,,
squatting,,,,,
squawking,,,,,
squealing,,,,,
squeamish,,,,,
squeezable,,,,,
squiggly,,,,,
squirming,,,,,
squirrelly,,,,,
stable,,,,,
stackable,,,,,
stacked,,,,,
staggering,,,,,
stagnant,,,,,
stained,,,,,
stale,,,,,
stanch,,,,,
standard,,,,,
standing,,,,,
standoffish,,,,,
starched,,,,,
star-crossed,,,,,
stark,,,,,
startled,,,,,
startling,,,,,
starving,,,,,
stately,,,,,
static,,,,,
statistical,,,,,
statuesque,,,,,
status,,,,,
statutory,,,,,
staunch,,,,,
steadfast,,,,,
steady,,,,,
stealth,,,,,
steaming,,,,,
steamy,,,,,
steel,,,,,
steely,,,,,
steep,,,,,
stereophonic,,,,,
stereotyped,,,,,
stereotypical,,,,,
sterile,,,,,
stern,,,,,
sticky,,,,,
stiff,,,,,
stifled,,,,,
stifling,,,,,
stigmatic,,,,,
still,,,,,
stilled,,,,,
stilted,,,,,
stimulating,,,,,
stinging,,,,,
stingy,,,,,
stinking,,,,,
stinky,,,,,
stirring,,,,,
stock,,,,,
stodgy,,,,,
stoic,,,,,
stony,,,,,
stormy,,,,,
stout,,,,,
straggly,,,,,
straight,,,,,
straightforward,,,,,
stranded,,,,,
strange,,,,,
strategic,,,,,
streaked,,,,,
street,,,,,
strenuous,,,,,
stressful,,,,,
stretchy,,,,,
strict,,,,,
strident,,,,,
striking,,,,,
stringent,,,,,
striped,,,,,
strong,,,,,
stronger,,,,,
strongest,,,,,
structural,,,,,
stubborn,,,,,
stubby,,,,,
stuck-up,,,,,
studied,,,,,
studious,,,,,
stuffed,,,,,
stuffy,,,,,
stumbling,,,,,
stunned,,,,,
stunning,,,,,
stupendous,,,,,
sturdy,,,,,
stuttering,,,,,
stylish,,,,,
stylistic,,,,,
suave,,,,,
subconscious,,,,,
subdued,,,,,
subject,,,,,
subjective,,,,,
sublime,,,,,
subliminal,,,,,
submissive,,,,,
subordinate,,,,,
subsequent,,,,,
subservient,,,,,
substantial,,,,,
substantiated,,,,,
substitute,,,,,
subterranean,,,,,
subtitled,,,,,
subtle,,,,,
subversive,,,,,
successful,,,,,
successive,,,,,
succinct,,,,,
succulent,,,,,
such,,,,,
sudden,,,,,
suffering,,,,,
sufficient,,,,,
sugary,,,,,
suggestive,,,,,
suitable,,,,,
sulky,,,,,
sullen,,,,,
sumptuous,,,,,
sunny,,,,,
super,,,,,
superabundant,,,,,
superb,,,,,
supercilious,,,,,
superficial,,,,,
superhuman,,,,,
superior,,,,,
superlative,,,,,
supernatural,,,,,
supersensitive,,,,,
supersonic,,,,,
superstitious,,,,,
supple,,,,,
supportive,,,,,
supposed,,,,,
suppressive,,,,,
supreme,,,,,
sure,,,,,
sure-footed,,,,,
surgical,,,,,
surly,,,,,
surmountable,,,,,
surprised,,,,,
surprising,,,,,
surrealistic,,,,,
survivable,,,,,
susceptible,,,,,
suspected,,,,,
suspicious,,,,,
sustainable,,,,,
swaggering,,,,,
swanky,,,,,
swaying,,,,,
sweaty,,,,,
sweeping,,,,,
sweet,,,,,
sweltering,,,,,
swift,,,,,
swimming,,,,,
swinish,,,,,
swishing,,,,,
swollen,,,,,
swooping,,,,,
syllabic,,,,,
syllogistic,,,,,
symbiotic,,,,,
symbolic,,,,,
symmetrical,,,,,
sympathetic,,,,,
symptomatic,,,,,
synergistic,,,,,
synonymous,,,,,
syntactic,,,,,
synthetic,,,,,
systematic,,,,,
taboo,,,,,
tacit,,,,,
tacky,,,,,
tactful,,,,,
tactical,,,,,
tactless,,,,,
tactual,,,,,
tainted,,,,,
take-charge,,,,,
talented,,,,,
talkative,,,,,
tall,,,,,
taller,,,,,
tallest,,,,,
tame,,,,,
tamed,,,,,
tan,,,,,
tangential,,,,,
tangible,,,,,
tangled,,,,,
tangy,,,,,
tanned,,,,,
tantalizing,,,,,
tapered,,,,,
tardy,,,,,
targeted,,,,,
tarnished,,,,,
tart,,,,,
tasteful,,,,,
tasteless,,,,,
tasty,,,,,
tattered,,,,,
taunting,,,,,
taut,,,,,
taxing,,,,,
teachable,,,,,
tearful,,,,,
tearing,,,,,
teasing,,,,,
technical,,,,,
technological,,,,,
tectonic,,,,,
tedious,,,,,
teenage,,,,,
teensy,,,,,
teeny,,,,,
teeny-tiny,,,,,
telegraphic,,,,,
telekinetic,,,,,
telepathic,,,,,
telephonic,,,,,
telescopic,,,,,
telling,,,,,
temperamental,,,,,
temperate,,,,,
tempestuous,,,,,
temporary,,,,,
tempted,,,,,
tempting,,,,,
ten,,,,,
tenable,,,,,
tenacious,,,,,
tender,,,,,
tenderhearted,,,,,
ten-minute,,,,,
tense,,,,,
tentative,,,,,
tenth,,,,,
tenuous,,,,,
tepid,,,,,
terminal,,,,,
terrestrial,,,,,
terrible,,,,,
terrific,,,,,
terrified,,,,,
terrifying,,,,,
territorial,,,,,
terse,,,,,
tested,,,,,
testy,,,,,
tetchy,,,,,
textual,,,,,
textural,,,,,
thankful,,,,,
thankless,,,,,
that,,,,,
the,,,,,
theatrical,,,,,
their,,,,,
thematic,,,,,
theological,,,,,
theoretical,,,,,
therapeutic,,,,,
thermal,,,,,
these,,,,,
thick,,,,,
thievish,,,,,
thin,,,,,
thinkable,,,,,
third,,,,,
thirsty,,,,,
this,,,,,
thorny,,,,,
thorough,,,,,
those,,,,,
thoughtful,,,,,
thoughtless,,,,,
thrashed,,,,,
threatened,,,,,
threatening,,,,,
three,,,,,
thriftless,,,,,
thrifty,,,,,
thrilled,,,,,
thrilling,,,,,
throbbing,,,,,
thumping,,,,,
thundering,,,,,
thunderous,,,,,
ticking,,,,,
tickling,,,,,
ticklish,,,,,
tidal,,,,,
tidy,,,,,
tight,,,,,
tightfisted,,,,,
time,,,,,
timeless,,,,,
timely,,,,,
timid,,,,,
timorous,,,,,
tiny,,,,,
tipsy,,,,,
tired,,,,,
tireless,,,,,
tiresome,,,,,
tiring,,,,,
tolerable,,,,,
tolerant,,,,,
tonal,,,,,
tone-deaf,,,,,
toneless,,,,,
toothsome,,,,,
toothy,,,,,
top,,,,,
topical,,,,,
topographical,,,,,
tormented,,,,,
torpid,,,,,
torrential,,,,,
torrid,,,,,
torturous,,,,,
total,,,,,
touched,,,,,
touching,,,,,
touchy,,,,,
tough,,,,,
towering,,,,,
toxic,,,,,
traditional,,,,,
tragic,,,,,
trainable,,,,,
trained,,,,,
training,,,,,
traitorous,,,,,
tranquil,,,,,
transcendent,,,,,
transcendental,,,,,
transformational,,,,,
transformative,,,,,
transformed,,,,,
transient,,,,,
transitional,,,,,
transitory,,,,,
translucent,,,,,
transparent,,,,,
transplanted,,,,,
trapped,,,,,
trashed,,,,,
trashy,,,,,
traumatic,,,,,
treacherous,,,,,
treasonable,,,,,
treasonous,,,,,
treasured,,,,,
treatable,,,,,
tremendous,,,,,
tremulous,,,,,
trenchant,,,,,
trendy,,,,,
triangular,,,,,
tribal,,,,,
trick,,,,,
tricky,,,,,
trim,,,,,
tripping,,,,,
trite,,,,,
triumphant,,,,,
trivial,,,,,
tropical,,,,,
troubled,,,,,
troublesome,,,,,
troubling,,,,,
truculent,,,,,
TRUE,,,,,
trusted,,,,,
trustful,,,,,
trusting,,,,,
trustworthy,,,,,
trusty,,,,,
truthful,,,,,
trying,,,,,
tumultuous,,,,,
tuneful,,,,,
tuneless,,,,,
turbulent,,,,,
twinkling,,,,,
twinkly,,,,,
twisted,,,,,
twitchy,,,,,
two,,,,,
typical,,,,,
tyrannical,,,,,
tyrannous,,,,,
ubiquitous,,,,,
ugly,,,,,
ultimate,,,,,
ultraconservative,,,,,
ultrasensitive,,,,,
ultrasonic,,,,,
ultraviolet,,,,,
unabashed,,,,,
unabated,,,,,
unable,,,,,
unacceptable,,,,,
unaccompanied,,,,,
unaccountable,,,,,
unaccustomed,,,,,
unacknowledged,,,,,
unadorned,,,,,
unadulterated,,,,,
unadventurous,,,,,
unadvised,,,,,
unaffected,,,,,
unaffordable,,,,,
unafraid,,,,,
unaggressive,,,,,
unaided,,,,,
unalienable,,,,,
unalterable,,,,,
unaltered,,,,,
unambiguous,,,,,
unanimous,,,,,
unannounced,,,,,
unanswerable,,,,,
